,epoch,t_loss,t_acc,t_kappa,v_loss,v_acc,v_kappa
0,0,2.0538601349140038,0.20862068965517241,0.013674878015345837,1.5533021943322542,0.296551724137931,0.03275862068965518
1,1,1.5308681146851901,0.30689655172413793,0.13504128920248393,1.2852096409633242,0.4068965517241379,0.1586206896551724
2,2,1.3291278197847565,0.4189655172413793,0.2735233337793437,1.1799033803158794,0.5310344827586206,0.3017241379310345
3,3,1.2504256084047516,0.43103448275862066,0.2888353843410023,1.0841123544835838,0.5241379310344827,0.3120689655172414
4,4,1.2125706574012494,0.4844827586206896,0.35638309716974836,1.2422653707964666,0.4896551724137931,0.3568965517241379
5,5,1.0771589246289484,0.5017241379310344,0.3776315691763884,1.0510894742505303,0.5517241379310345,0.3896551724137931
6,6,1.1849904179573059,0.49482758620689654,0.36899404417115955,0.9757636777285872,0.593103448275862,0.3931034482758621
7,7,1.0636730152985145,0.5396551724137931,0.4257148896561187,0.9563285086689324,0.6206896551724138,0.44482758620689655
8,8,0.9605232436081459,0.6275862068965518,0.5346902391917991,0.9459225975233932,0.6068965517241379,0.5293103448275862
9,9,0.981741816422035,0.5862068965517241,0.48343235450196875,0.9415140086206897,0.6275862068965518,0.49310344827586206
10,10,0.9338514175908319,0.6017241379310345,0.5024269591149305,0.9364245353073909,0.6137931034482759,0.5051724137931035
11,11,0.9489177033819002,0.5827586206896551,0.47885300134779396,0.9246534736762787,0.6137931034482759,0.4862068965517241
12,12,0.9212751631079049,0.6086206896551724,0.5109684800130745,0.9287942141615625,0.6344827586206896,0.5172413793103448
13,13,0.9549908465352551,0.5982758620689655,0.49808355122415027,0.9092708258343668,0.6620689655172414,0.5137931034482759
14,14,0.9056814119733613,0.6517241379310345,0.5648912228057015,0.9073205693014736,0.6344827586206896,0.5603448275862069
