,epoch,t_loss,t_acc,t_kappa,v_loss,v_acc,v_kappa
0,0,1.611857009756154,0.31551724137931036,0.14539684896171612,1.2472223353283158,0.496551724137931,0.190492593868412
1,1,1.3849454887982073,0.39827586206896554,0.24739178607812373,1.2668593973949038,0.496551724137931,0.27241379310344827
2,2,1.311933465045074,0.44482758620689655,0.3058900484643059,1.1838338934142014,0.5172413793103449,0.32413793103448274
3,3,1.2980091777341118,0.4568965517241379,0.3203984615041252,1.1033156084603277,0.5310344827586206,0.33965517241379306
4,4,1.315155030735608,0.4482758620689655,0.3102781927504886,1.21646002489945,0.4896551724137931,0.32068965517241377
5,5,1.2626720251708194,0.4293103448275862,0.28625602284218665,1.1207013442598541,0.5172413793103449,0.3086206896551724
6,6,1.1817189598905629,0.5120689655172413,0.3895849370953406,1.1556186552705436,0.47586206896551725,0.38103448275862073
7,7,1.1109762522681006,0.5551724137931034,0.44318342499497665,0.9896594170866342,0.5793103448275863,0.44999999999999996
8,8,1.0678770492816794,0.5551724137931034,0.4438890602527845,1.0028018192998294,0.6137931034482759,0.45862068965517244
9,9,1.1120789180541861,0.5379310344827586,0.42214324483073973,0.9735586470442599,0.6,0.4379310344827586
10,10,1.0504002620433939,0.5741379310344827,0.46732405259087395,0.9798627759875922,0.6137931034482759,0.47758620689655173
11,11,1.0877448737621307,0.5517241379310345,0.4392071549431955,1.0323635952226047,0.6,0.4517241379310345
12,12,1.041808784624626,0.5568965517241379,0.445836524377096,1.0458109789881214,0.5862068965517241,0.45344827586206893
13,13,1.1088834988659826,0.5741379310344827,0.4675972380166641,0.9621062282858224,0.6482758620689655,0.4862068965517241
14,14,1.0484443253484266,0.5586206896551724,0.4480051154698351,0.9843306315356287,0.6137931034482759,0.4620689655172414
